x 		 y 		 u
0.0000 	 0.0000 	 0.000000
0.0000 	 0.0164 	 0.000000
0.0000 	 0.0328 	 0.000000
0.0000 	 0.0492 	 0.000000
0.0000 	 0.0656 	 0.000000
0.0000 	 0.0820 	 0.000000
0.0000 	 0.0984 	 0.000000
0.0000 	 0.1148 	 0.000000
0.0000 	 0.1311 	 0.000000
0.0000 	 0.1475 	 0.000000
0.0000 	 0.1639 	 0.000000
0.0000 	 0.1803 	 0.000000
0.0000 	 0.1967 	 0.000000
0.0000 	 0.2131 	 0.000000
0.0000 	 0.2295 	 0.000000
0.0000 	 0.2459 	 0.000000
0.0000 	 0.2623 	 0.000000
0.0000 	 0.2787 	 0.000000
0.0000 	 0.2951 	 0.000000
0.0000 	 0.3115 	 0.000000
0.0000 	 0.3279 	 0.000000
0.0000 	 0.3443 	 0.000000
0.0000 	 0.3607 	 0.000000
0.0000 	 0.3770 	 0.000000
0.0000 	 0.3934 	 0.000000
0.0000 	 0.4098 	 0.000000
0.0000 	 0.4262 	 0.000000
0.0000 	 0.4426 	 0.000000
0.0000 	 0.4590 	 0.000000
0.0000 	 0.4754 	 0.000000
0.0000 	 0.4918 	 0.000000
0.0000 	 0.5082 	 0.000000
0.0000 	 0.5246 	 0.000000
0.0000 	 0.5410 	 0.000000
0.0000 	 0.5574 	 0.000000
0.0000 	 0.5738 	 0.000000
0.0000 	 0.5902 	 0.000000
0.0000 	 0.6066 	 0.000000
0.0000 	 0.6230 	 0.000000
0.0000 	 0.6393 	 0.000000
0.0000 	 0.6557 	 0.000000
0.0000 	 0.6721 	 0.000000
0.0000 	 0.6885 	 0.000000
0.0000 	 0.7049 	 0.000000
0.0000 	 0.7213 	 0.000000
0.0000 	 0.7377 	 0.000000
0.0000 	 0.7541 	 0.000000
0.0000 	 0.7705 	 0.000000
0.0000 	 0.7869 	 0.000000
0.0000 	 0.8033 	 0.000000
0.0000 	 0.8197 	 0.000000
0.0000 	 0.8361 	 0.000000
0.0000 	 0.8525 	 0.000000
0.0000 	 0.8689 	 0.000000
0.0000 	 0.8852 	 0.000000
0.0000 	 0.9016 	 0.000000
0.0000 	 0.9180 	 0.000000
0.0000 	 0.9344 	 0.000000
0.0000 	 0.9508 	 0.000000
0.0000 	 0.9672 	 0.000000
0.0000 	 0.9836 	 0.000000
0.0000 	 1.0000 	 0.000000
0.0328 	 0.0000 	 0.032787
0.0328 	 0.0164 	 -0.684869
0.0328 	 0.0328 	 -1.370967
0.0328 	 0.0492 	 -2.026722
0.0328 	 0.0656 	 -2.653332
0.0328 	 0.0820 	 -3.251974
0.0328 	 0.0984 	 -3.823803
0.0328 	 0.1148 	 -4.369940
0.0328 	 0.1311 	 -4.891477
0.0328 	 0.1475 	 -5.389468
0.0328 	 0.1639 	 -5.864926
0.0328 	 0.1803 	 -6.318818
0.0328 	 0.1967 	 -6.752066
0.0328 	 0.2131 	 -7.165536
0.0328 	 0.2295 	 -7.560041
0.0328 	 0.2459 	 -7.936331
0.0328 	 0.2623 	 -8.295096
0.0328 	 0.2787 	 -8.636957
0.0328 	 0.2951 	 -8.962467
0.0328 	 0.3115 	 -9.272101
0.0328 	 0.3279 	 -9.566262
0.0328 	 0.3443 	 -9.845270
0.0328 	 0.3607 	 -10.109360
0.0328 	 0.3770 	 -10.358683
0.0328 	 0.3934 	 -10.593300
0.0328 	 0.4098 	 -10.813179
0.0328 	 0.4262 	 -11.018191
0.0328 	 0.4426 	 -11.208113
0.0328 	 0.4590 	 -11.382617
0.0328 	 0.4754 	 -11.541277
0.0328 	 0.4918 	 -11.683558
0.0328 	 0.5082 	 -11.808819
0.0328 	 0.5246 	 -11.916311
0.0328 	 0.5410 	 -12.005174
0.0328 	 0.5574 	 -12.074435
0.0328 	 0.5738 	 -12.123008
0.0328 	 0.5902 	 -12.149694
0.0328 	 0.6066 	 -12.153177
0.0328 	 0.6230 	 -12.132026
0.0328 	 0.6393 	 -12.084695
0.0328 	 0.6557 	 -12.009520
0.0328 	 0.6721 	 -11.904726
0.0328 	 0.6885 	 -11.768420
0.0328 	 0.7049 	 -11.598596
0.0328 	 0.7213 	 -11.393138
0.0328 	 0.7377 	 -11.149818
0.0328 	 0.7541 	 -10.866301
0.0328 	 0.7705 	 -10.540147
0.0328 	 0.7869 	 -10.168812
0.0328 	 0.8033 	 -9.749654
0.0328 	 0.8197 	 -9.279936
0.0328 	 0.8361 	 -8.756828
0.0328 	 0.8525 	 -8.177414
0.0328 	 0.8689 	 -7.538694
0.0328 	 0.8852 	 -6.837591
0.0328 	 0.9016 	 -6.070955
0.0328 	 0.9180 	 -5.235571
0.0328 	 0.9344 	 -4.328160
0.0328 	 0.9508 	 -3.345388
0.0328 	 0.9672 	 -2.283873
0.0328 	 0.9836 	 -1.140190
0.0328 	 1.0000 	 0.089124
0.0656 	 0.0000 	 0.065574
0.0656 	 0.0164 	 -1.369529
0.0656 	 0.0328 	 -2.741515
0.0656 	 0.0492 	 -4.052816
0.0656 	 0.0656 	 -5.305829
0.0656 	 0.0820 	 -6.502909
0.0656 	 0.0984 	 -7.646363
0.0656 	 0.1148 	 -8.738437
0.0656 	 0.1311 	 -9.781315
0.0656 	 0.1475 	 -10.777103
0.0656 	 0.1639 	 -11.727829
0.0656 	 0.1803 	 -12.635430
0.0656 	 0.1967 	 -13.501745
0.0656 	 0.2131 	 -14.328511
0.0656 	 0.2295 	 -15.117350
0.0656 	 0.2459 	 -15.869767
0.0656 	 0.2623 	 -16.587140
0.0656 	 0.2787 	 -17.270713
